Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
322,140,Hitam,Tipe3,Biasa,2,1/11/2021,1/18/2021,1100000
323,180,Coklat,Tipe4,Biasa,2,1/11/2021,1/18/2021,1300000
324,160,Hitam,Tipe4,Permata,2,1/11/2021,1/18/2021,1900000
325,160,Abu-Abu,Tipe1,Biasa,3,1/12/2021,1/19/2021,1200000
326,120,Coklat,Tipe1,Biasa,3,1/12/2021,1/19/2021,1200000
327,160,Hitam,Tipe1,Biasa,3,1/12/2021,1/19/2021,1200000
328,180,Hitam,Tipe2,Biasa,3,1/12/2021,1/19/2021,700000
329,180,Abu-Abu,Tipe3,Biasa,3,1/12/2021,1/19/2021,1100000
330,140,Coklat,Tipe3,Biasa,3,1/12/2021,1/19/2021,1100000
331,160,Coklat,Tipe3,Biasa,3,1/12/2021,1/19/2021,1100000
332,160,Hitam,Tipe3,Biasa,3,1/12/2021,1/19/2021,1100000
333,180,Hitam,Tipe3,Biasa,3,1/12/2021,1/19/2021,1100000
334,140,Hitam,Tipe4,Biasa,3,1/12/2021,1/19/2021,1300000
335,140,Hitam,Tipe4,Biasa,3,1/12/2021,1/19/2021,1300000
336,160,Hitam,Tipe1,Permata,3,1/12/2021,1/19/2021,180000
337,160,Hitam,Tipe2,Permata,3,1/12/2021,1/19/2021,1300000
338,180,Hitam,Tipe2,Permata,3,1/12/2021,1/19/2021,1300000
339,160,Coklat,Tipe1,Biasa,5,1/13/2021,1/20/2021,1200000
340,160,Hitam,Tipe1,Biasa,5,1/13/2021,1/20/2021,1200000
341,180,Hitam,Tipe1,Biasa,5,1/13/2021,1/20/2021,1200000
342,120,Hitam,Tipe2,Biasa,5,1/13/2021,1/20/2021,700000
343,160,Pink,Tipe2,Biasa,5,1/13/2021,1/20/2021,700000
344,120,Abu-Abu,Tipe3,Biasa,5,1/13/2021,1/20/2021,1100000
345,180,Abu-Abu,Tipe3,Biasa,5,1/13/2021,1/20/2021,1100000
346,160,Hitam,Tipe3,Biasa,5,1/13/2021,1/20/2021,1100000
347,160,Pink,Tipe3,Biasa,5,1/13/2021,1/20/2021,1100000
348,120,Pink,Tipe4,Biasa,5,1/13/2021,1/20/2021,1300000
349,140,Abu-Abu,Tipe1,Laci,5,1/13/2021,1/20/2021,1500000
350,160,Hitam,Tipe2,Laci,5,1/13/2021,1/20/2021,1000000
351,120,Abu-Abu,Tipe2,Permata,5,1/13/2021,1/20/2021,1300000
352,160,Coklat,Tipe3,Permata,5,1/13/2021,1/20/2021,1700000
353,180,Abu-Abu,Tipe1,Biasa,6,1/15/2021,1/22/2021,1200000
354,180,Coklat,Tipe1,Biasa,6,1/15/2021,1/22/2021,1200000
355,160,Hitam,Tipe1,Biasa,6,1/15/2021,1/22/2021,1200000
356,180,Hitam,Tipe2,Biasa,6,1/15/2021,1/22/2021,700000
357,180,Pink,Tipe2,Biasa,6,1/15/2021,1/22/2021,700000
358,160,Hitam,Tipe3,Biasa,6,1/15/2021,1/22/2021,1100000
359,180,Hitam,Tipe3,Biasa,6,1/15/2021,1/22/2021,1100000
360,180,Abu-Abu,Tipe4,Biasa,6,1/15/2021,1/22/2021,1300000
361,160,Coklat,Tipe4,Biasa,6,1/15/2021,1/22/2021,1300000
362,160,Pink,Tipe4,Biasa,6,1/15/2021,1/22/2021,1300000
363,140,Coklat,Tipe2,Permata,6,1/15/2021,1/22/2021,1300000
364,160,Hitam,Tipe4,Permata,6,1/15/2021,1/22/2021,1900000
365,160,Abu-Abu,Tipe1,Biasa,1,1/17/2021,1/24/2021,1200000
366,160,Coklat,Tipe1,Biasa,1,1/17/2021,1/24/2021,1200000
367,120,Abu-Abu,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
368,140,Hitam,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
369,160,Hitam,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
370,160,Hitam,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
371,180,Merah,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
372,120,Pink,Tipe2,Biasa,1,1/17/2021,1/24/2021,700000
373,160,Coklat,Tipe3,Biasa,1,1/17/2021,1/24/2021,1100000
374,180,Hitam,Tipe3,Biasa,1,1/17/2021,1/24/2021,1100000
375,160,Abu-Abu,Tipe4,Biasa,1,1/17/2021,1/24/2021,1300000
376,140,Hitam,Tipe1,Laci,1,1/17/2021,1/24/2021,1500000
377,120,Coklat,Tipe2,Laci,1,1/17/2021,1/24/2021,1000000
378,160,Coklat,Tipe4,Laci,1,1/17/2021,1/24/2021,1600000
379,180,Abu-Abu,Tipe1,Biasa,2,1/18/2021,1/25/2021,1200000
380,140,Coklat,Tipe1,Biasa,2,1/18/2021,1/25/2021,1200000
381,160,Hitam,Tipe1,Biasa,2,1/18/2021,1/25/2021,1200000
382,180,Abu-Abu,Tipe2,Biasa,2,1/18/2021,1/25/2021,700000
383,160,Coklat,Tipe2,Biasa,2,1/18/2021,1/25/2021,700000
384,140,Hitam,Tipe2,Biasa,2,1/18/2021,1/25/2021,700000
385,120,Abu-Abu,Tipe3,Biasa,2,1/18/2021,1/25/2021,1100000
386,140,Abu-Abu,Tipe3,Biasa,2,1/18/2021,1/25/2021,1100000
387,180,Coklat,Tipe3,Biasa,2,1/18/2021,1/25/2021,1100000
388,140,Coklat,Tipe4,Biasa,2,1/18/2021,1/25/2021,1300000
389,160,Hitam,Tipe4,Biasa,2,1/18/2021,1/25/2021,1300000
