order_id;order_date;order_detail/information;order_status;order_deadline
696;25/03/2021;Tipe3 Biasa 160 Abu-Abu;;
697;25/03/2021;Tipe4 Biasa 160 Coklat;;
698;25/03/2021;Tipe4 Biasa 160 Coklat;;
699;25/03/2021;Tipe4 Biasa 180 Coklat;;
700;25/03/2021;Tipe1 Laci 160 Hitam;;
701;28/03/2021;Tipe3 Laci 180 Abu-Abu;;
702;28/03/2021;Tipe3 Laci 160 Coklat;;
703;28/03/2021;Tipe1 Biasa 160 Abu-Abu;;
704;28/03/2021;Tipe1 Biasa 160 Coklat;;
705;28/03/2021;Tipe1 Biasa 140 Pink;;
706;28/03/2021;Tipe2 Biasa 120 Abu-Abu;;
707;28/03/2021;Tipe2 Biasa 160 Coklat;;
708;30/03/2021;Tipe2 Biasa 160 Hitam;;
709;30/03/2021;Tipe2 Biasa 140 Merah;;
710;30/03/2021;Tipe3 Biasa 120 Hitam;;
711;30/03/2021;Tipe3 Biasa 140 Hitam;;
712;30/03/2021;Tipe3 Biasa 160 Hitam;;
713;30/03/2021;Tipe3 Laci 180 Merah;;
714;30/03/2021;Tipe3 Permata 180 Abu-Abu;;
715;30/03/2021;Tipe3 Permata 140 Hitam;;
716;30/03/2021;Tipe4 Permata 120 Hitam;;
717;30/03/2021;Tipe2 Biasa 160 Abu-Abu;;
718;01/04/2021;Tipe2 Biasa 160 Abu-Abu;;
719;01/04/2021;Tipe2 Biasa 160 Coklat;;
720;01/04/2021;Tipe3 Biasa 160 Coklat;;
721;01/04/2021;Tipe3 Biasa 160 Hitam;;
722;01/04/2021;Tipe4 Biasa 160 Abu-Abu;;
723;01/04/2021;Tipe1 Laci 160 Abu-Abu;;
724;01/04/2021;Tipe1 Biasa 160 Hitam;;
725;01/04/2021;Tipe2 Biasa 120 Hitam;;
726;01/04/2021;Tipe2 Biasa 180 Hitam;;
727;01/04/2021;Tipe3 Biasa 160 Hitam;;
728;01/04/2021;Tipe3 Biasa 160 Pink;;
729;01/04/2021;Tipe1 Laci 160 Hitam;;
730;01/04/2021;Tipe2 Permata 160 Hitam;;
731;01/04/2021;Tipe1 Biasa 180 Pink;;
732;04/04/2021;Tipe2 Biasa 140 Abu-Abu;;
733;04/04/2021;Tipe2 Biasa 160 Hitam;;
734;04/04/2021;Tipe3 Biasa 140 Hitam;;
735;04/04/2021;Tipe3 Biasa 140 Hitam;;
736;04/04/2021;Tipe3 Laci 180 Abu-Abu;;
737;04/04/2021;Tipe4 Laci 160 Coklat;;
738;04/04/2021;Tipe1 Biasa 160 Hitam;;
739;04/04/2021;Tipe1 Biasa 180 Hitam;;
740;04/04/2021;Tipe1 Biasa 140 Pink;;
741;04/04/2021;Tipe2 Biasa 180 Abu-Abu;;
742;06/04/2021;Tipe2 Biasa 180 Coklat;;
743;06/04/2021;Tipe3 Biasa 160 Hitam;;
744;06/04/2021;Tipe4 Biasa 160 Hitam;;
745;06/04/2021;Tipe2 Biasa 120 Coklat;;
746;06/04/2021;Tipe2 Biasa 140 Hitam;;
747;06/04/2021;Tipe3 Biasa 160 Abu-Abu;;
748;06/04/2021;Tipe3 Biasa 160 Hitam;;
749;06/04/2021;Tipe3 Biasa 160 Hitam;;
750;06/04/2021;Tipe4 Biasa 180 Hitam;;
